,Quarter,Time,Tm,Detail,MIA,BAL
0,1.0,,Ravens,Matt Stover 38 yard field goal,0,3
1,1.0,,Dolphins,Karim Abdul-Jabbar 5 yard rush (Olindo Mare kick),7,3
2,1.0,,Dolphins,Karim Abdul-Jabbar 5 yard rush (Olindo Mare kick),14,3
3,2.0,,Dolphins,Karim Abdul-Jabbar 6 yard rush (Olindo Mare kick),21,3
4,3.0,,Ravens,Matt Stover 23 yard field goal,21,6
5,4.0,,Dolphins,Olindo Mare 23 yard field goal,24,6
6,4.0,,Ravens,Derrick Alexander 34 yard pass from Vinny Testaverde (Matt Stover kick),24,13
