,Quarter,Tm,Detail,DET,PHI
0,1.0,Lions,Lloyd Cardwell 30 yard rush (Chuck Hanneman kick),7,0
1,3.0,Lions,Whizzer White 7 yard rush (Chuck Hanneman kick),14,0
2,3.0,Lions,Whizzer White 5 yard rush (Chuck Hanneman kick),21,0
