,Quarter,Time,Tm,Detail,MIA,DET
0,1.0,6:19,Lions,Matt Prater 26 yard field goal,0,3
1,1.0,3:58,Lions,Calvin Johnson 49 yard pass from Matthew Stafford (Matt Prater kick),0,10
2,2.0,0:13,Dolphins,Caleb Sturgis 23 yard field goal,3,10
3,3.0,8:24,Dolphins,Caleb Sturgis 50 yard field goal,6,10
4,3.0,1:17,Dolphins,Mike Wallace 3 yard pass from Ryan Tannehill (Caleb Sturgis kick),13,10
5,4.0,12:02,Lions,Matt Prater 50 yard field goal,13,13
6,4.0,4:19,Dolphins,Caleb Sturgis 20 yard field goal,16,13
7,4.0,0:29,Lions,Theo Riddick 11 yard pass from Matthew Stafford (Matt Prater kick),16,20
