,Quarter,Tm,Detail,GNB,RAM
0,1.0,Packers,"Safety, Magnani tackled in end zone by Wildung",2,0
1,2.0,Rams,Bob Waterfield 20 yard field goal,2,3
2,3.0,Rams,Ray Hamilton 10 yard pass from Bob Waterfield (Bob Waterfield kick),2,10
3,3.0,Packers,Ted Fritsch 2 yard rush (Ward Cuff kick),9,10
4,3.0,Packers,Clyde Goodnight 14 yard pass from Jack Jacobs (Ward Cuff kick),16,10
5,4.0,Packers,Ted Fritsch 1 yard rush (Ward Cuff kick),23,10
6,4.0,Packers,Tony Canadeo 14 yard rush (Ward Cuff kick),30,10
