,Quarter,Tm,Detail,KAN,NYJ
0,1.0,Chiefs,Otis Taylor 18 yard pass from Len Dawson (Jan Stenerud kick),7,0
1,1.0,Chiefs,Jan Stenerud 21 yard field goal,10,0
2,1.0,Jets,Jim Turner 10 yard field goal,10,3
3,2.0,Jets,George Sauer 40 yard pass from Joe Namath (Jim Turner kick),10,10
4,2.0,Chiefs,Otis Taylor 7 yard pass from Len Dawson (Jan Stenerud kick),17,10
5,2.0,Chiefs,Jan Stenerud 38 yard field goal,20,10
6,3.0,Chiefs,Warren McVea 2 yard rush (Jan Stenerud kick),27,10
7,4.0,Chiefs,Otis Taylor 10 yard pass from Len Dawson (Jan Stenerud kick),34,10
8,4.0,Jets,Don Maynard 10 yard pass from Joe Namath (run failed),34,16
