,Quarter,Tm,Detail,DEN,SDG
0,1.0,Chargers,Vencie Glenn 103 yard interception return (Vince Abbott kick),0,7
1,1.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),7,7
2,2.0,Broncos,Ricky Nattiel 46 yard pass from John Elway (Rich Karlis kick),14,7
3,2.0,Chargers,Vince Abbott 32 yard field goal,14,10
4,2.0,Broncos,Rich Karlis 27 yard field goal,17,10
5,3.0,Broncos,Gene Lang 5 yard pass from John Elway (Rich Karlis kick),24,10
6,3.0,Broncos,Vance Johnson 9 yard pass from John Elway (Rich Karlis kick),31,10
7,4.0,Chargers,Curtis Adams 1 yard rush (Vince Abbott kick),31,17
