,Quarter,Tm,Detail,PIT,NYG
0,1.0,Giants,Don Chandler 34 yard field goal,0,3
1,1.0,Giants,Del Shofner 41 yard pass from Y.A. Tittle,0,9
2,2.0,Giants,Joe Morrison 3 yard pass from Y.A. Tittle (Don Chandler kick),0,16
3,2.0,Steelers,Lou Michaels 27 yard field goal,3,16
4,3.0,Steelers,Gary Ballman 21 yard pass from Ed Brown (Lou Michaels kick),10,16
5,3.0,Giants,Joe Morrison 22 yard pass from Y.A. Tittle (Don Chandler kick),10,23
6,3.0,Giants,Joe Morrison 1 yard rush (Don Chandler kick),10,30
7,3.0,Steelers,Buddy Dial 40 yard pass from Ed Brown (Lou Michaels kick),17,30
8,4.0,Giants,Don Chandler 41 yard field goal,17,33
