,Quarter,Tm,Detail,MIN,CLE
0,1.0,Vikings,Dave Osborn 4 yard rush (Fred Cox kick),7,0
1,2.0,Vikings,Fred Cox 20 yard field goal,10,0
2,2.0,Browns,Leroy Kelly 1 yard rush (Lou Groza kick),10,7
3,4.0,Browns,Leroy Kelly 1 yard rush (Lou Groza kick),10,14
