,Quarter,Tm,Detail,PHI,CHI
0,1.0,Bears,George Gulyanics 1 yard rush (Johnny Lujack kick),0,7
1,1.0,Eagles,Pete Pihos 16 yard pass from Tommy Thompson (Cliff Patton kick),7,7
2,2.0,Eagles,Steve Van Buren 50 yard pass from Tommy Thompson (Cliff Patton kick),14,7
3,2.0,Bears,Ken Kavanaugh 32 yard pass from Johnny Lujack (Johnny Lujack kick),14,14
4,2.0,Bears,Johnny Lujack 1 yard rush (Johnny Lujack kick),14,21
5,3.0,Bears,Jim Keane 15 yard pass from Johnny Lujack (Johnny Lujack kick),14,28
6,3.0,Eagles,Jack Ferrante 64 yard pass from Tommy Thompson (Cliff Patton kick),21,28
7,4.0,Bears,George McAfee 54 yard interception return (Johnny Lujack kick),21,35
8,4.0,Bears,George Blanda 20 yard field goal,21,38
