,Quarter,Tm,Detail,KAN,SFO
0,1.0,49ers,Jerry Rice 1 yard pass from Steve Bono (Mike Cofer kick),0,7
1,2.0,49ers,John Taylor 9 yard pass from Steve Bono (Mike Cofer kick),0,14
2,3.0,49ers,Jerry Rice 20 yard pass from Steve Bono (Mike Cofer kick),0,21
3,3.0,Chiefs,Barry Word 11 yard rush (Nick Lowery kick),7,21
4,4.0,49ers,Dexter Carter 53 yard rush (Mike Cofer kick),7,28
5,4.0,Chiefs,Emile Harry 17 yard pass from Steve DeBerg (Nick Lowery kick),14,28
