,Quarter,Tm,Detail,SEA,RAI
0,1.0,Raiders,Dokie Williams 9 yard pass from Jim Plunkett (Chris Bahr kick),0,7
1,2.0,Raiders,Jessie Hester 49 yard pass from Jim Plunkett (Chris Bahr kick),0,14
2,2.0,Seahawks,Norm Johnson 30 yard field goal,3,14
3,3.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),10,14
