,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Eric Hipple 6 yard rush (Eddie Murray kick),0,7
1,1.0,Packers,James Lofton 75 yard pass from Lynn Dickey (Jan Stenerud kick),7,7
2,2.0,Packers,Jan Stenerud 27 yard field goal,10,7
3,2.0,Lions,Eddie Murray 37 yard field goal,10,10
4,2.0,Lions,David Hill 1 yard pass from Eric Hipple (Eddie Murray kick),10,17
5,3.0,Packers,Jan Stenerud 39 yard field goal,13,17
6,3.0,Lions,Rick Kane 2 yard rush (Eddie Murray kick),13,24
7,3.0,Packers,Gerry Ellis 46 yard pass from David Whitehurst (Jan Stenerud kick),20,24
8,4.0,Packers,Gerry Ellis 1 yard rush (Jan Stenerud kick),27,24
9,4.0,Lions,Eric Hipple 5 yard rush (Eddie Murray kick),27,31
