,Quarter,Time,Tm,Detail,MIN,CIN
0,1.0,13:12,Bengals,BenJarvus Green-Ellis 4 yard rush (Mike Nugent kick),0,7
1,1.0,10:02,Vikings,Jarius Wright 36 yard pass from Matt Cassel (Blair Walsh kick),7,7
2,1.0,0:57,Bengals,A.J. Green 29 yard pass from Andy Dalton (Mike Nugent kick),7,14
3,2.0,10:02,Bengals,Vincent Rey 25 yard interception return (Mike Nugent kick),7,21
4,2.0,2:22,Bengals,Jermaine Gresham 16 yard pass from Andy Dalton (Mike Nugent kick),7,28
5,3.0,10:35,Bengals,Mohamed Sanu 7 yard pass from Andy Dalton (Mike Nugent kick),7,35
6,3.0,3:19,Bengals,A.J. Green 2 yard pass from Andy Dalton (Mike Nugent kick),7,42
7,3.0,1:34,Vikings,Cordarrelle Patterson 35 yard rush (Blair Walsh kick),14,42
