,Quarter,Time,Tm,Detail,CIN,TEN
0,1.0,,Oilers,Willie Davis 9 yard pass from Steve McNair (Al Del Greco kick),0,7
1,2.0,,Oilers,Frank Wycheck 39 yard pass from Steve McNair (Al Del Greco kick),0,14
2,3.0,,Oilers,Al Del Greco 47 yard field goal,0,17
3,3.0,,Oilers,Al Del Greco 45 yard field goal,0,20
4,4.0,,Oilers,Willie Davis 10 yard pass from Steve McNair (Al Del Greco kick),0,27
5,4.0,,Oilers,Al Del Greco 19 yard field goal,0,30
6,4.0,,Bengals,Corey Dillon 21 yard rush (Doug Pelfrey kick),7,30
