,Quarter,Time,Tm,Detail,DET,GNB
0,1.0,10:37,Lions,Kerryon Johnson 1 yard rush (Matt Prater kick),7,0
1,1.0,5:46,Packers,Mason Crosby 43 yard field goal,7,3
2,1.0,0:08,Lions,Marvin Jones 4 yard pass from Matthew Stafford (Matt Prater kick),14,3
3,2.0,10:13,Packers,Aaron Jones 7 yard pass from Aaron Rodgers (Mason Crosby kick),14,10
4,2.0,0:19,Packers,Robert Tonyan 11 yard pass from Aaron Rodgers (Mason Crosby kick),14,17
5,3.0,15:00,Packers,Aaron Jones 75 yard rush (Mason Crosby kick),14,24
6,3.0,8:37,Packers,Chandon Sullivan 7 yard interception return (Mason Crosby kick),14,31
7,3.0,1:36,Packers,Mason Crosby 35 yard field goal,14,34
8,4.0,13:06,Lions,Marvin Hall 24 yard pass from Matthew Stafford (Matt Prater kick),21,34
9,4.0,8:05,Packers,Aaron Jones 14 yard rush (Jamaal Williams run),21,42
