,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chiefs,Paul Palmer 26 yard rush (Nick Lowery kick),7,0
1,1.0,Chargers,Gary Anderson 9 yard rush (Steve DeLine kick),7,7
2,1.0,Chiefs,Jonathan Hayes 4 yard pass from Steve DeBerg,13,7
3,1.0,Chargers,Steve DeLine 45 yard field goal,13,10
4,2.0,Chargers,Mark Malone 5 yard rush (Steve DeLine kick),13,17
5,3.0,Chargers,Jamie Holland 94 yard kickoff return (Steve DeLine kick),13,24
