,Quarter,Tm,Detail,BAL,CHI
0,1.0,Bears,Harlon Hill 76 yard pass from George Blanda (George Blanda kick),0,7
1,1.0,Bears,S.J. Whitman 33 yard interception return (George Blanda kick),0,14
2,1.0,Colts,Charley Robinson fumble recovery in end zone (Bert Rechichar kick),7,14
3,2.0,Colts,"Safety, Blanda tackled in end zone by Finnin",9,14
4,2.0,Bears,Bones Weatherly fumble recovery in end zone (George Blanda run),9,21
5,4.0,Bears,Jim Dooley 3 yard pass from George Blanda (George Blanda kick),9,28
