,Quarter,Tm,Detail,CRD,PIT
0,1.0,Cardinals,Bobby Joe Conrad 37 yard field goal,3,0
1,1.0,Cardinals,Bobby Joe Conrad 20 yard field goal,6,0
2,2.0,Steelers,Bobby Layne 9 yard rush (Bobby Layne kick),6,7
3,2.0,Steelers,Buddy Dial 35 yard pass from Bobby Layne (Bobby Layne kick),6,14
4,2.0,Steelers,Buddy Dial 11 yard pass from Bobby Layne (Bobby Layne kick),6,21
5,2.0,Steelers,Tom Tracy 16 yard pass from Bobby Layne (Bobby Layne kick),6,28
6,3.0,Cardinals,Bobby Joe Conrad 21 yard pass from King Hill (Bobby Joe Conrad kick),13,28
7,3.0,Steelers,Jimmy Orr 16 yard pass from Bobby Layne (Bobby Layne kick),13,35
8,4.0,Cardinals,John David Crow 7 yard pass from King Hill (Bobby Joe Conrad kick),20,35
