,Quarter,Tm,Detail,OAK,DET
0,1.0,Raiders,Fred Biletnikoff 23 yard pass from Daryle Lamonica (George Blanda kick),7,0
1,1.0,Raiders,Fred Biletnikoff 21 yard pass from Daryle Lamonica (George Blanda kick),14,0
2,2.0,Lions,Altie Taylor 12 yard pass from Greg Landry (Errol Mann kick),14,7
3,2.0,Lions,Charlie Sanders 20 yard pass from Greg Landry (Errol Mann kick),14,14
4,4.0,Lions,Charlie Sanders 6 yard pass from Greg Landry (Errol Mann kick),14,21
5,4.0,Lions,Mel Farr 11 yard rush (Errol Mann kick),14,28
