,Quarter,Tm,Detail,NWE,CHI
0,1.0,Patriots,Jeff White 32 yard field goal,3,0
1,2.0,Bears,Earl Thomas 3 yard pass from Bobby Douglass (Mirro Roder kick),3,7
2,2.0,Patriots,Jeff White 11 yard field goal,6,7
3,3.0,Bears,Mirro Roder 30 yard field goal,6,10
4,4.0,Patriots,Jim Plunkett 5 yard rush (Jeff White kick),13,10
