,Quarter,Time,Tm,Detail,TAM,GNB
0,1.0,,Packers,Mark Chmura 3 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,2.0,,Packers,Ryan Longwell 21 yard field goal,0,10
2,2.0,,Packers,Ryan Longwell 32 yard field goal,0,13
3,3.0,,Buccaneers,Mike Alstott 6 yard rush (Michael Husted kick),7,13
4,4.0,,Packers,Dorsey Levens 2 yard rush (Brett Favre run),7,21
