,Quarter,Tm,Detail,DEN,SDG
0,1.0,Chargers,Robert Holmes 1 yard rush (Dennis Partee kick),0,7
1,1.0,Broncos,Riley Odoms 24 yard pass from Charley Johnson (Jim Turner kick),7,7
2,2.0,Broncos,Floyd Little 1 yard rush (Jim Turner kick),14,7
3,2.0,Broncos,Jim Turner 25 yard field goal,17,7
4,2.0,Chargers,Gary Garrison 11 yard pass from Dan Fouts (Dennis Partee kick),17,14
5,2.0,Broncos,Jim Turner 35 yard field goal,20,14
6,3.0,Broncos,Joe Dawkins 2 yard rush (Jim Turner kick),27,14
7,3.0,Broncos,Jim Turner 15 yard field goal,30,14
8,3.0,Broncos,"Safety, Criter blocked punt in end zone",32,14
9,3.0,Broncos,Haven Moses 15 yard pass from Charley Johnson (Jim Turner kick),39,14
10,4.0,Chargers,Cid Edwards 1 yard rush (Dennis Partee kick),39,21
11,4.0,Chargers,Jerry LeVias 69 yard pass from Dan Fouts (Dennis Partee kick),39,28
12,4.0,Broncos,Jim Turner 29 yard field goal,42,28
