,Quarter,Tm,Detail,NYG,NYY
0,1.0,Giants,Ray Poole 16 yard field goal,3,0
1,1.0,Yanks,Harvey Johnson 15 yard field goal,3,3
2,2.0,Giants,Emlen Tunnell 74 yard punt return (Ray Poole kick),10,3
3,2.0,Yanks,George Taliaferro 3 yard pass from Bob Celeri (Harvey Johnson kick),10,10
4,2.0,Giants,Bob Wilkinson 69 yard pass from Charlie Conerly (Ray Poole kick),17,10
5,3.0,Giants,Kelley Mote 4 yard pass from Charlie Conerly (Ray Poole kick),24,10
6,4.0,Giants,Ray Poole 38 yard field goal,27,10
7,4.0,Yanks,Sherman Howard 24 yard pass from George Ratterman (Harvey Johnson kick),27,17
