,Quarter,Tm,Detail,PHI,PIT
0,1.0,Pirates,Jeep Brett 39 yard pass from Tuffy Thompson (Izzy Weinstock kick),0,7
1,2.0,Eagles,Swede Hanson 3 yard rush (Dave Smukler kick),7,7
2,3.0,Pirates,Bill Davidson 44 yard pass from Johnny Gildea (Armand Niccolai kick),7,14
3,4.0,Eagles,Bill Hewitt 7 yard pass from Dave Smukler (Dave Smukler kick),14,14
4,4.0,Pirates,Johnny Blood 92 yard kickoff return (Bill Breeden kick),14,21
5,4.0,Pirates,Johnny Blood 44 yard pass from Max Fiske,14,27
