,Quarter,Tm,Detail,RAM,DET
0,1,Rams,Tom Moore 4 yard rush (Bruce Gossett kick),7,0
1,3,Rams,Tom Moore 30 yard pass from Roman Gabriel (Bruce Gossett kick),14,0
2,4,Lions,Tom Nowatzke 4 yard rush (Milt Plum kick),14,7
