,Quarter,Time,Tm,Detail,CHI,MIN
0,1.0,,Vikings,Fuad Reveiz 29 yard field goal,0,3
1,2.0,,Bears,Lewis Tillman 1 yard rush (Kevin Butler kick),7,3
2,2.0,,Bears,Keith Jennings 9 yard pass from Steve Walsh (Kevin Butler kick),14,3
3,2.0,,Vikings,Cris Carter 4 yard pass from Warren Moon (pass failed),14,9
4,3.0,,Bears,Raymont Harris 29 yard rush (Kevin Butler kick),21,9
5,3.0,,Vikings,Fuad Reveiz 48 yard field goal,21,12
6,4.0,4:03,Bears,Jeff Graham 21 yard pass from Steve Walsh (Kevin Butler kick),28,12
7,4.0,4:03,Vikings,Amp Lee 11 yard pass from Warren Moon (pass failed),28,18
8,4.0,4:03,Bears,Kevin Miniefield 48 yard defensive fumble return (Kevin Butler kick),35,18
