,Quarter,Tm,Detail,DAL,CHI
0,2.0,Bears,Dennis McKinnon 4 yard rush (Kevin Butler kick),0,7
1,2.0,Bears,Kevin Butler 21 yard field goal,0,10
2,2.0,Bears,Ron Morris 39 yard pass from Jim McMahon (Kevin Butler kick),0,17
3,4.0,Cowboys,Everett Gay 13 yard pass from Danny White (Roger Ruzek kick),7,17
