,Quarter,Tm,Detail,STL,NWE
0,1.0,Cardinals,Neil O'Donoghue 44 yard field goal,3,0
1,1.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),3,7
2,2.0,Cardinals,Neil O'Donoghue 45 yard field goal,6,7
3,3.0,Patriots,Tony Collins 6 yard rush,6,13
4,3.0,Cardinals,Wayne Morris 1 yard rush (Neil O'Donoghue kick),13,13
5,4.0,Cardinals,Ottis Anderson 14 yard rush (Neil O'Donoghue kick),20,13
6,4.0,Patriots,Vagas Ferguson 3 yard rush (John Smith kick),20,20
7,4.0,Cardinals,Roy Green 33 yard pass from Neil Lomax (Neil O'Donoghue kick),27,20
