,Quarter,Time,Tm,Detail,ARI,NYG
0,1,,Giants,Aaron Pierce 4 yard pass from Kent Graham (David Treadwell kick),0,7
1,2,,Giants,"Safety, Cardinals penalized for holding in end zone",0,9
2,3,,Cardinals,Greg Davis 45 yard field goal,3,9
3,4,,Cardinals,Bryan Reeves 9 yard pass from Steve Beuerlein (Greg Davis kick),10,9
