,Quarter,Time,Tm,Detail,STL,MIN
0,1.0,5:36,Vikings,Koren Robinson 13 yard rush (Paul Edinger kick),0,7
1,2.0,6:54,Rams,Jeff Wilkins 51 yard field goal,3,7
2,2.0,4:52,Vikings,Paul Edinger 37 yard field goal,3,10
3,2.0,0:59,Vikings,Paul Edinger 44 yard field goal,3,13
4,2.0,0:00,Rams,Jeff Wilkins 23 yard field goal,6,13
5,3.0,10:42,Rams,Ryan Fitzpatrick 14 yard rush (Jeff Wilkins kick),13,13
6,3.0,8:05,Vikings,Michael Bennett 7 yard rush (Paul Edinger kick),13,20
7,3.0,3:11,Vikings,Ciatrick Fason 1 yard rush (Paul Edinger kick),13,27
