,Quarter,Time,Tm,Detail,DEN,SEA
0,1.0,,Broncos,Jason Elam 18 yard field goal,3,0
1,1.0,,Seahawks,Todd Peterson 27 yard field goal,3,3
2,2.0,,Seahawks,Todd Peterson 40 yard field goal,3,6
3,2.0,,Broncos,Aaron Craver 39 yard pass from John Elway (Jason Elam kick),10,6
4,2.0,,Broncos,Jason Elam 28 yard field goal,13,6
5,3.0,,Seahawks,Joey Galloway 88 yard punt return (Todd Peterson kick),13,13
6,3.0,,Broncos,Anthony Miller 7 yard pass from John Elway (Jason Elam kick),20,13
7,4.0,,Broncos,Jason Elam 33 yard field goal,23,13
8,4.0,,Seahawks,Christian Fauria 23 yard pass from John Friesz (Todd Peterson kick),23,20
9,4.0,,Broncos,John Elway 1 yard rush (Jason Elam kick),30,20
