,Quarter,Time,Tm,Detail,GNB,JAX
0,1.0,11:21,Jaguars,Mike Hollis 34 yard field goal,0,3
1,2.0,7:11,Jaguars,Elvis Joseph 29 yard pass from Mark Brunell (Mike Hollis kick),0,10
2,2.0,1:55,Jaguars,Mike Hollis 30 yard field goal,0,13
3,2.0,0:25,Packers,Ahman Green 13 yard pass from Brett Favre (Ryan Longwell kick),7,13
4,3.0,3:45,Jaguars,Ainsley Battles 60 yard defensive fumble return (Keenan McCardell pass from Mark Brunell),7,21
5,3.0,2:38,Packers,Bill Schroeder 43 yard pass from Brett Favre (Ryan Longwell kick),14,21
6,3.0,0:58,Packers,Bubba Franks 1 yard pass from Brett Favre (Ryan Longwell kick),21,21
7,4.0,1:30,Packers,Brett Favre 6 yard rush (Ryan Longwell kick),28,21
