,Quarter,Time,Tm,Detail,TAM,NOR
0,2.0,,Saints,Doug Brien 46 yard field goal,0,3
1,3.0,,Buccaneers,Michael Husted 52 yard field goal,3,3
2,3.0,,Saints,Doug Brien 50 yard field goal,3,6
3,4.0,,Saints,Doug Brien 41 yard field goal,3,9
