,Quarter,Tm,Detail,WAS,CLE
0,1.0,Browns,Lou Groza 24 yard field goal,0,3
1,2.0,Redskins,Chuck Drazenovich 2 yard rush,6,3
2,2.0,Browns,Lou Groza 29 yard field goal,6,6
3,2.0,Redskins,Chuck Drazenovich 2 yard rush (Eddie LeBaron kick),13,6
4,3.0,Browns,Lou Groza 27 yard field goal,13,9
5,4.0,Browns,Lou Groza 35 yard field goal,13,12
6,4.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),13,19
7,4.0,Redskins,"Safety, Graham tackled in end zone",15,19
