,Quarter,Tm,Detail,BUF,TAM
0,1.0,Buccaneers,Donald Igwebuike 49 yard field goal,0,3
1,1.0,Buccaneers,Pat Franklin special teams fumble recovery in end zone (Donald Igwebuike kick),0,10
2,2.0,Buccaneers,Donald Igwebuike 26 yard field goal,0,13
3,2.0,Buccaneers,Steve Young 2 yard rush (Donald Igwebuike kick),0,20
4,3.0,Bills,Pete Metzelaars 1 yard pass from Jim Kelly (Scott Norwood kick),7,20
5,3.0,Bills,Pete Metzelaars 44 yard pass from Jim Kelly (Scott Norwood kick),14,20
6,4.0,Buccaneers,Steve Young 1 yard rush (Donald Igwebuike kick),14,27
7,4.0,Bills,Ron Pitts 49 yard punt return (Scott Norwood kick),21,27
8,4.0,Buccaneers,James Wilder 45 yard rush (Donald Igwebuike kick),21,34
9,4.0,Bills,Jerry Butler 9 yard pass from Jim Kelly (Scott Norwood kick),28,34
