,Quarter,Tm,Detail,DET,CHI
0,1.0,Bears,Kevin Butler 21 yard field goal,0,3
1,2.0,Lions,Brett Perriman 11 yard pass from Erik Kramer (Eddie Murray kick),7,3
2,2.0,Lions,Eddie Murray 31 yard field goal,10,3
3,3.0,Bears,Kevin Butler 25 yard field goal,10,6
4,3.0,Bears,Wendell Davis 22 yard pass from Jim Harbaugh (Kevin Butler kick),10,13
5,4.0,Bears,Wendell Davis 8 yard pass from Jim Harbaugh (Kevin Butler kick),10,20
