,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,Morten Andersen 47 yard field goal,0,3
1,2.0,Rams,Drew Hill 25 yard pass from Jeff Kemp (Mike Lansford kick),7,3
2,2.0,Rams,Henry Ellard 13 yard pass from Jeff Kemp (Mike Lansford kick),14,3
3,2.0,Rams,Nolan Cromwell 33 yard interception return (Mike Lansford kick),21,3
4,3.0,Rams,Ron Brown 21 yard pass from Jeff Kemp (Mike Lansford kick),28,3
5,4.0,Saints,Hokie Gajan 1 yard rush (Morten Andersen kick),28,10
