,Quarter,Tm,Detail,CLE,POT
0,1.0,Maroons,Jack Ernst 55 yard punt return (Charlie Berry kick),0,7
1,3.0,Maroons,Tony Latone 45 yard interception return (Charlie Berry kick),0,14
2,4.0,Maroons,Charlie Berry 29 yard field goal,0,17
3,4.0,Bulldogs,Dave Noble 45 yard pass from Al Michaels,6,17
4,4.0,Maroons,Walter French 12 yard rush (Charlie Berry kick),6,24
