,Quarter,Tm,Detail,RAM,WAS
0,1.0,Rams,Dick Hoerner 16 yard pass from Bob Waterfield (Bob Waterfield kick),7,0
1,2.0,Rams,Jack Zilly 16 yard pass from Bob Waterfield,13,0
2,2.0,Rams,Kenny Washington 26 yard pass from Jim Hardy (Bob Waterfield kick),20,0
3,2.0,Redskins,Dick Todd 7 yard pass from Sammy Baugh (Dick Poillon kick),20,7
4,2.0,Rams,Fred Gehrke 92 yard kickoff return (Bob Waterfield kick),27,7
5,3.0,Rams,Fred Gehrke 4 yard pass from Bob Waterfield (Bob Waterfield kick),34,7
6,3.0,Rams,Bob Hoffman 7 yard pass from Bob Waterfield (Bob Waterfield kick),41,7
7,3.0,Redskins,Hugh Taylor 32 yard pass from Sammy Baugh,41,13
