,Quarter,Time,Tm,Detail,HOU,CLE
0,1.0,,Browns,Matt Stover 37 yard field goal,0,3
1,2.0,,Browns,Frank Hartley 1 yard pass from Vinny Testaverde (Matt Stover kick),0,10
2,2.0,,Oilers,Lorenzo White 1 yard rush (Al Del Greco kick),7,10
3,2.0,,Browns,Brian Kinchen 11 yard pass from Vinny Testaverde (Matt Stover kick),7,17
4,2.0,,Oilers,Al Del Greco 42 yard field goal,10,17
5,4.0,,Browns,Leroy Hoard 1 yard rush (Matt Stover kick),10,24
6,4.0,,Browns,Matt Stover 23 yard field goal,10,27
7,4.0,,Browns,Leroy Hoard 5 yard rush (Matt Stover kick),10,34
