,Quarter,Time,Tm,Detail,SEA,SDG
0,1.0,,Seahawks,Joey Galloway 81 yard pass from John Friesz (Todd Peterson kick),7,0
1,2.0,,Chargers,John Carney 21 yard field goal,7,3
2,2.0,,Seahawks,Todd Peterson 40 yard field goal,10,3
3,2.0,,Seahawks,Joey Galloway 74 yard punt return (Todd Peterson kick),17,3
4,2.0,0:39,Chargers,Mikhael Ricks 5 yard pass from Ryan Leaf (John Carney kick),17,10
5,3.0,0:39,Chargers,Natrone Means 1 yard rush (John Carney kick),17,17
6,3.0,0:39,Seahawks,Todd Peterson 23 yard field goal,20,17
7,4.0,0:39,Seahawks,Ricky Watters 1 yard rush (Todd Peterson kick),27,17
8,4.0,0:39,Chargers,John Carney 45 yard field goal,27,20
