,Quarter,Tm,Detail,BAL,OAK
0,1.0,Colts,Norm Bulaich 3 yard rush (Jim O'Brien kick),7,0
1,2.0,Colts,Tom Matte 10 yard rush (Jim O'Brien kick),14,0
2,2.0,Colts,Jim O'Brien 11 yard field goal,17,0
3,2.0,Colts,Jim O'Brien 28 yard field goal,20,0
4,3.0,Colts,Norm Bulaich 1 yard rush (Jim O'Brien kick),27,0
5,3.0,Colts,Jim O'Brien 45 yard field goal,30,0
6,4.0,Raiders,Fred Biletnikoff 18 yard pass from George Blanda (George Blanda kick),30,7
7,4.0,Colts,Don Nottingham 1 yard rush (Jim O'Brien kick),37,7
8,4.0,Raiders,Fred Biletnikoff 4 yard pass from George Blanda (George Blanda kick),37,14
