,Quarter,Time,Tm,Detail,WAS,OAK
0,1.0,4:12,Raiders,Sebastian Janikowski 34 yard field goal,0,3
1,1.0,0:13,Redskins,Fred Davis 6 yard pass from Jason Campbell (Graham Gano kick),7,3
2,2.0,11:14,Raiders,Justin Fargas 1 yard rush (Sebastian Janikowski kick),7,10
3,2.0,7:27,Redskins,Graham Gano 46 yard field goal,10,10
4,2.0,0:56,Redskins,Fred Davis 17 yard pass from Jason Campbell (Graham Gano kick),17,10
5,3.0,8:49,Raiders,Sebastian Janikowski 54 yard field goal,17,13
6,4.0,11:22,Redskins,Quinton Ganther 1 yard rush (Graham Gano kick),24,13
7,4.0,9:42,Redskins,Quinton Ganther 1 yard rush (Graham Gano kick),31,13
8,4.0,2:47,Redskins,Graham Gano 41 yard field goal,34,13
