,Quarter,Tm,Detail,BUF,PIT
0,2.0,Bills,John Leypoldt 37 yard field goal,3,0
1,2.0,Bills,Mike Kadish 26 yard defensive fumble return (John Leypoldt kick),10,0
2,3.0,Bills,Reuben Gant 7 yard pass from Joe Ferguson (John Leypoldt kick),17,0
3,3.0,Bills,O.J. Simpson 88 yard rush,23,0
4,3.0,Steelers,Franco Harris 2 yard rush (Roy Gerela kick),23,7
5,4.0,Bills,Bob Chandler 28 yard pass from Joe Ferguson (John Leypoldt kick),30,7
6,4.0,Steelers,Randy Grossman 20 yard pass from Joe Gilliam (Roy Gerela kick),30,14
7,4.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),30,21
