,Quarter,Tm,Detail,DUL,HAM
0,2.0,Eskimos,Johnny Blood 5 yard rush,6,0
1,3.0,Eskimos,Cobb Rooney 10 yard pass from Ernie Nevers (Ernie Nevers kick),13,0
2,3.0,Eskimos,Russ Method 40 yard interception return,19,0
3,4.0,Eskimos,Ernie Nevers 5 yard rush (Ernie Nevers kick),26,0
