,Quarter,Time,Tm,Detail,JAX,CIN
0,1.0,,Bengals,Doug Pelfrey 27 yard field goal,0,3
1,1.0,,Jaguars,Randy Jordan 71 yard pass from Steve Beuerlein (Mike Hollis kick),7,3
2,2.0,,Bengals,Melvin Tuten 3 yard pass from Jeff Blake (Doug Pelfrey kick),7,10
3,3.0,,Jaguars,Mike Hollis 29 yard field goal,10,10
4,3.0,,Bengals,Harold Green 10 yard rush (Doug Pelfrey kick),10,17
5,4.0,,Bengals,Carl Pickens 68 yard pass from Jeff Blake (Doug Pelfrey kick),10,24
6,4.0,,Jaguars,Mark Brunell 8 yard rush (Mike Hollis kick),17,24
