,Quarter,Tm,Detail,CHI,DEN
0,1.0,Bears,Willie Gault 51 yard pass from Jim McMahon (Kevin Butler kick),7,0
1,1.0,Bears,Cap Boso 6 yard pass from Jim McMahon (Kevin Butler kick),14,0
2,2.0,Broncos,Vance Johnson 22 yard pass from John Elway (Rich Karlis kick),14,7
3,2.0,Broncos,Mark Jackson 22 yard pass from John Elway (Rich Karlis kick),14,14
4,2.0,Broncos,Ricky Nattiel 35 yard pass from John Elway (Rich Karlis kick),14,21
5,3.0,Bears,Willie Gault 26 yard pass from Jim McMahon (run failed),20,21
6,3.0,Bears,Jim McMahon 1 yard rush,26,21
7,3.0,Bears,Kevin Butler 42 yard field goal,29,21
8,4.0,Broncos,Rich Karlis 27 yard field goal,29,24
9,4.0,Broncos,Steve Sewell 4 yard rush (Rich Karlis kick),29,31
