,Quarter,Time,Tm,Detail,CLE,SDG
0,1.0,,Chargers,Aaron Hayden 3 yard rush (John Carney kick),0,7
1,2.0,,Chargers,John Carney 31 yard field goal,0,10
2,2.0,,Browns,Matt Stover 34 yard field goal,3,10
3,2.0,,Chargers,Aaron Hayden 1 yard rush (John Carney kick),3,17
4,3.0,,Browns,Michael Jackson 28 yard pass from Vinny Testaverde (Matt Stover kick),10,17
5,4.0,,Chargers,Tony Martin 25 yard pass from Stan Humphries (John Carney kick),10,24
6,4.0,,Chargers,Terrell Fletcher 16 yard rush (John Carney kick),10,31
7,4.0,,Browns,Matt Stover 40 yard field goal,13,31
