,Quarter,Tm,Detail,ATL,BUF
0,1.0,Bills,Carwell Gardner 2 yard rush (Steve Christie kick),0,7
1,1.0,Bills,Pete Metzelaars 3 yard pass from Jim Kelly (Steve Christie kick),0,14
2,1.0,Bills,Andre Reed 15 yard pass from Jim Kelly (Steve Christie kick),0,21
3,1.0,Bills,Kenneth Davis 1 yard rush (Steve Christie kick),0,28
4,2.0,Bills,Kenneth Davis 64 yard rush (Steve Christie kick),0,35
5,2.0,Bills,Steve Christie 47 yard field goal,0,38
6,2.0,Falcons,Deion Sanders 75 yard kickoff return (Norm Johnson kick),7,38
7,4.0,Bills,Steve Christie 18 yard field goal,7,41
8,4.0,Falcons,Drew Hill 1 yard pass from Wade Wilson (Norm Johnson kick),14,41
