,Quarter,Tm,Detail,BUF,BAL
0,2.0,Colts,Don McCauley 1 yard rush (Toni Linhart kick),0,7
1,2.0,Bills,Dennis Johnson 2 yard rush (Tom Dempsey kick),7,7
2,3.0,Bills,Frank Lewis 39 yard pass from Joe Ferguson (Tom Dempsey kick),14,7
3,4.0,Bills,Terry Miller 60 yard rush (Tom Dempsey kick),21,7
4,4.0,Colts,Mike Siani 26 yard pass from Joe Washington (Toni Linhart kick),21,14
