,Quarter,Tm,Detail,HOU,PIT
0,1.0,Oilers,Jerry LeVias 22 yard pass from Charley Johnson (Roy Gerela kick),7,0
1,2.0,Oilers,Jerry LeVias 10 yard pass from Charley Johnson (Roy Gerela kick),14,0
2,3.0,Oilers,"Safety, Bradshaw forced out of end zone by Pritchard",16,0
3,4.0,Oilers,Roy Gerela 8 yard field goal,19,0
4,4.0,Steelers,Ron Shanklin 15 yard pass from Terry Hanratty (Gene Mingo kick),19,7
