,Quarter,Tm,Detail,RAI,NOR
0,1.0,Saints,Morten Andersen 37 yard field goal,0,3
1,3.0,Saints,Dalton Hilliard 1 yard rush (Morten Andersen kick),0,10
2,4.0,Saints,Morten Andersen 42 yard field goal,0,13
3,4.0,Saints,Gill Fenerty 2 yard rush (Morten Andersen kick),0,20
4,4.0,Saints,Brett Maxie 31 yard interception return (Morten Andersen kick),0,27
