,Quarter,Tm,Detail,DEN,RAI
0,1.0,Raiders,Chris Bahr 19 yard field goal,0,3
1,2.0,Raiders,Marcus Allen 4 yard pass from Jim Plunkett (Chris Bahr kick),0,10
2,2.0,Raiders,Kenny King 5 yard rush (Chris Bahr kick),0,17
3,2.0,Raiders,Marcus Allen 51 yard pass from Jim Plunkett (Chris Bahr kick),0,24
4,2.0,Raiders,Chris Bahr 36 yard field goal,0,27
5,4.0,Broncos,Rich Karlis 31 yard field goal,3,27
6,4.0,Broncos,Steve Watson 18 yard pass from Mark Herrmann (Rich Karlis kick),10,27
