,Quarter,Tm,Detail,CHI,NYG
0,1.0,Bears,Dick Gordon 38 yard pass from Rudy Bukich (Roger LeClerc kick),7,0
1,2.0,Bears,Rudy Bukich 1 yard rush (Roger LeClerc kick),14,0
2,2.0,Bears,Gale Sayers 45 yard rush (Roger LeClerc kick),21,0
3,3.0,Giants,Del Shofner 25 yard pass from Earl Morrall (Bob Timberlake kick),21,7
4,4.0,Bears,Dave Whitsell 29 yard interception return (Roger LeClerc kick),28,7
5,4.0,Giants,Steve Thurlow 3 yard pass from Earl Morrall (Bob Timberlake kick),28,14
6,4.0,Bears,Gale Sayers 15 yard rush (Roger LeClerc kick),35,14
