,Quarter,Time,Tm,Detail,RAI,SFO
0,1.0,,49ers,Jerry Rice 69 yard pass from Steve Young (Doug Brien kick),0,7
1,1.0,,49ers,Brent Jones 15 yard pass from Steve Young (Doug Brien kick),0,14
2,2.0,,Raiders,Tim Brown 7 yard pass from Jeff Hostetler (Jeff Jaeger kick),7,14
3,2.0,,49ers,Ricky Watters 1 yard rush,7,20
4,2.0,,Raiders,Napoleon McCallum 1 yard rush (Jeff Jaeger kick),14,20
5,2.0,,49ers,Doug Brien 33 yard field goal,14,23
6,4.0,8:16,49ers,Brent Jones 8 yard pass from Steve Young (Doug Brien kick),14,30
7,4.0,8:16,49ers,Jerry Rice 23 yard rush (Doug Brien kick),14,37
8,4.0,5:29,49ers,Jerry Rice 38 yard pass from Steve Young (Doug Brien kick),14,44
