,Quarter,Tm,Detail,SFO,MIN
0,1.0,Vikings,Tommy Mason 14 yard pass from Fran Tarkenton (Fred Cox kick),0,7
1,1.0,Vikings,Bill Brown 30 yard pass from Fran Tarkenton (Fred Cox kick),0,14
2,2.0,Vikings,Fred Cox 22 yard field goal,0,17
3,2.0,Vikings,Jerry Reichow 3 yard pass from Fran Tarkenton (Fred Cox kick),0,24
4,4.0,49ers,Dave Parks 79 yard pass from George Mira (Tommy Davis kick),7,24
