,Quarter,Tm,Detail,DAL,BUF
0,1,Bills,Greg Bell 85 yard rush (Chuck Nelson kick),0,7
1,2,Cowboys,Rafael Septien 20 yard field goal,3,7
2,4,Bills,Greg Bell 3 yard pass from Joe Ferguson (Chuck Nelson kick),3,14
