,Quarter,Tm,Detail,MIA,NWE
0,1.0,Patriots,Steve Grogan 1 yard rush (Fred Steinfort kick),0,7
1,2.0,Dolphins,Uwe von Schamann 52 yard field goal,3,7
2,2.0,Dolphins,Uwe von Schamann 29 yard field goal,6,7
3,2.0,Patriots,Tony Collins 4 yard rush (Fred Steinfort kick),6,14
4,3.0,Patriots,Fred Steinfort 20 yard field goal,6,17
