,Quarter,Time,Tm,Detail,TEN,CIN
0,1.0,,Bengals,Corey Dillon 2 yard rush (Doug Pelfrey kick),0,7
1,1.0,,Bengals,Tony McGee 1 yard pass from Boomer Esiason (Doug Pelfrey kick),0,14
2,2.0,,Bengals,Corey Dillon 31 yard rush (Doug Pelfrey kick),0,21
3,2.0,,Bengals,Corey Dillon 1 yard rush (Doug Pelfrey kick),0,28
4,3.0,,Bengals,Corey Dillon 2 yard rush (Doug Pelfrey kick),0,35
5,3.0,,Bengals,Doug Pelfrey 26 yard field goal,0,38
6,4.0,,Oilers,Willie Davis 5 yard pass from Steve McNair (Al Del Greco kick),7,38
7,4.0,,Bengals,Doug Pelfrey 40 yard field goal,7,41
8,4.0,,Oilers,Joey Kent 11 yard pass from Steve McNair (Al Del Greco kick),14,41
