,Quarter,Tm,Detail,ATL,SFO
0,1.0,49ers,Clifton McNeil 9 yard pass from John Brodie (Tommy Davis kick),0,7
1,2.0,Falcons,Bob Etter 23 yard field goal,3,7
2,2.0,49ers,Gary Lewis 18 yard pass from John Brodie (Tommy Davis kick),3,14
3,2.0,Falcons,Bob Long 6 yard pass from Randy Johnson (Bob Etter kick),10,14
4,3.0,49ers,John David Crow 23 yard pass from John Brodie (Tommy Davis kick),10,21
5,3.0,Falcons,Bob Etter 27 yard field goal,13,21
6,4.0,49ers,Bill Tucker 1 yard rush (Tommy Davis kick),13,28
