,Quarter,Tm,Detail,CRD,WAS
0,1.0,Cardinals,Charley Trippi 2 yard rush (Joe Geri kick),7,0
1,3.0,Redskins,Julie Rykovich 2 yard rush,7,6
2,4.0,Cardinals,Joe Geri 40 yard field goal,10,6
3,4.0,Cardinals,Billy Cross 15 yard rush (Joe Geri kick),17,6
