,Quarter,Tm,Detail,MIA,SFO
0,1.0,49ers,Dwight Clark 39 yard pass from Joe Montana (Ray Wersching kick),0,7
1,1.0,Dolphins,Nat Moore 24 yard pass from Dan Marino (Uwe von Schamann kick),7,7
2,2.0,49ers,Roger Craig 10 yard rush (Ray Wersching kick),7,14
3,2.0,Dolphins,Nat Moore 19 yard pass from Dan Marino (Uwe von Schamann kick),14,14
4,3.0,Dolphins,Uwe von Schamann 35 yard field goal,17,14
5,4.0,49ers,Ray Wersching 36 yard field goal,17,17
6,4.0,Dolphins,Uwe von Schamann 23 yard field goal,20,17
