,Quarter,Time,Tm,Detail,ATL,NYG
0,1,2:54,Giants,Lawrence Tynes 39 yard field goal,0,3
1,2,13:58,Falcons,Jason Snelling 7 yard rush (Jason Elam kick),7,3
2,2,7:01,Giants,Kevin Boss 28 yard pass from Eli Manning (Lawrence Tynes kick),7,10
3,2,0:14,Giants,Kevin Boss 4 yard pass from Eli Manning (Lawrence Tynes kick),7,17
4,3,11:43,Falcons,Jason Snelling 1 yard rush (Jason Elam kick),14,17
5,3,8:36,Giants,Brandon Jacobs 2 yard rush (Lawrence Tynes kick),14,24
6,3,1:57,Falcons,Jason Elam 25 yard field goal,17,24
7,4,12:08,Giants,Madison Hedgecock 3 yard pass from Eli Manning (Lawrence Tynes kick),17,31
8,4,6:01,Falcons,Eric Weems 4 yard pass from Matt Ryan (Jason Elam kick),24,31
9,4,0:28,Falcons,Tony Gonzalez 11 yard pass from Matt Ryan (Jason Elam kick),31,31
10,OT,11:06,Giants,Lawrence Tynes 36 yard field goal,31,34
