,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,Dick Bass 6 yard rush (Bruce Gossett kick),0,7
1,1.0,Rams,Bruce Gossett 31 yard field goal,0,10
2,2.0,Rams,Bruce Gossett 28 yard field goal,0,13
3,2.0,49ers,Tommy Davis 27 yard field goal,3,13
4,2.0,Rams,Jack Snow 43 yard pass from Roman Gabriel (Bruce Gossett kick),3,20
5,3.0,Rams,Dick Bass 1 yard rush (Bruce Gossett kick),3,27
6,3.0,Rams,Dick Bass 3 yard rush (Bruce Gossett kick),3,34
